|0000|0|0x0|(NUL)|0040|32|0x20|(SP)|0100|64|0x40|@|0140|96|0x60|`
|0001|1|0x1|(SOH)|0041|33|0x21|!|0101|65|0x41|A|0141|97|0x61|a
|0002|2|0x2|(STX)|0042|34|0x22|""""|0102|66|0x42|B|0142|98|0x62|b
|0003|3|0x3|(ETX)|0043|35|0x23|#|0103|67|0x43|C|0143|99|0x63|c
|0004|4|0x4|(EOT)|0044|36|0x24|$|0104|68|0x44|D|0144|100|0x64|d
|0005|5|0x5|(ENQ)|0045|37|0x25|%|0105|69|0x45|E|0145|101|0x65|e
|0006|6|0x6|(ACK)|0046|38|0x26|&|0106|70|0x46|F|0146|102|0x66|f
|0007|7|0x7|(BEL)|0047|39|0x27|'|0107|71|0x47|G|0147|103|0x67|g
|0010|8|0x8|(BS)|0050|40|0x28|(|0110|72|0x48|H|0150|104|0x68|h
|0011|9|0x9|(HT)|0051|41|0x29|)|0111|73|0x49|I|0151|105|0x69|i
|0012|10|0x0A|(LF)|0052|42|0x2A|*|0112|74|0x4A|J|0152|106|0x6A|j
|0013|11|0x0B|(VT)|0053|43|0x2B|+|0113|75|0x4B|K|0153|107|0x6B|k
|0014|12|0x0C|(FF)|0054|44|0x2C|,|0114|76|0x4C|L|0154|108|0x6C|l
|0015|13|0x0D|(CR)|0055|45|0x2D|-|0115|77|0x4D|M|0155|109|0x6D|m
|0016|14|0x0E|(SO)|0056|46|0x2E|.|0116|78|0x4E|N|0156|110|0x6E|n
|0017|15|0x0F|(SI)|0057|47|0x2F|/|0117|79|0x4F|O|0157|111|0x6F|o
|0020|16|0x10|(DLE9|0060|48|0x30|0|0120|80|0x50|P|0160|112|0x70|p
|0021|17|0x11|(DC1)|0061|49|0x31|1|0121|81|0x51|Q|0161|113|0x71|q
|0022|18|0x12|(DC2)|0062|50|0x32|2|0122|82|0x52|R|0162|114|0x72|r
|0023|19|0x13|(DC3)|0063|51|0x33|3|0123|83|0x53|S|0163|115|0x73|s
|0024|20|0x14|(DC4)|0064|52|0x34|4|0124|84|0x54|T|0164|116|0x74|t
|0025|21|0x15|(NAK)|0065|53|0x35|5|0125|85|0x55|U|0165|117|0x75|u
|0026|22|0x16|(SYN)|0066|54|0x36|6|0126|86|0x56|V|0166|118|0x76|v
|0027|23|0x17|(ETB)|0067|55|0x37|7|0127|87|0x57|W|0167|119|0x77|w
|0030|24|0x18|(CAN)|0070|56|0x38|8|0130|88|0x58|X|0170|120|0x78|x
|0031|25|0x19|(EM)|0071|57|0x39|9|0131|89|0x59|Y|0171|121|0x79|y
|0032|26|0x1A|(SUB)|0072|58|0x3A|:|0132|90|0x5A|Z|0172|122|0x7A|z
|0033|27|0x1B|(ESC)|0073|59|0x3B|;|0133|91|0x5B|[|0173|123|0x7B|{
|0034|28|0x1C|(FS)|0074|60|0x3C|<|0134|92|0x5C|\ |0174|124|0x7C|\|
|0035|29|0x1D|(GS)|0075|61|0x3D|=|0135|93|0x5D|]|0175|125|0x7D|}
|0036|30|0x1E|(RS)|0076|62|0x3E|>|0136|94|0x5E|^|0176|126|0x7E|~
|0037|31|0x1F|(US)|0077|63|0x3F|?|0137|95|0x5F|_|0177|127|0x7F|(DEL)
